year,movie,best_picture,best_picture_won,best_animated_feature,best_animated_feature_won,best_foreign,best_foreign_won,best_doc,best_doc_won,best_doc_short,best_doc_short_won,best_live_short,best_live_short_won,best_animated_short,best_animated_short_won
2015,"Birdman or (The Unexpected Virtue of Ignorance) – Alejandro G. Iñárritu, John Lesher, and James W. Skotchdopoledouble-dagger",1,1,,,,,,,,,,,,
2015,"American Sniper – Clint Eastwood, Robert Lorenz, Andrew Lazar, Bradley Cooper, and Peter Morgan",1,0,,,,,,,,,,,,
2015,Boyhood – Richard Linklater and Cathleen Sutherland,1,0,,,,,,,,,,,,
2015,"The Grand Budapest Hotel – Wes Anderson, Scott Rudin, Steven Rales and Jeremy Dawson",1,0,,,,,,,,,,,,
2015,"The Imitation Game – Nora Grossman, Ido Ostrowsky, and Teddy Schwarzman",1,0,,,,,,,,,,,,
2015,"Selma – Christian Colson, Oprah Winfrey, Dede Gardner, and Jeremy Kleiner",1,0,,,,,,,,,,,,
2015,"The Theory of Everything – Tim Bevan, Eric Fellner, Lisa Bruce, and Anthony McCarten",1,0,,,,,,,,,,,,
2015,"Whiplash – Jason Blum, Helen Estabrook, and David Lancaster",1,0,,,,,,,,,,,,
2015,"Big Hero 6 – Don Hall, Chris Williams, and Roy Conlidouble-dagger",0,0,1,1,,,,,,,,,,
2015,"The Boxtrolls – Anthony Stacchi, Graham Annable, and Travis Knight",0,0,1,0,,,,,,,,,,
2015,How to Train Your Dragon 2 – Dean DeBlois and Bonnie Arnold,0,0,1,0,,,,,,,,,,
2015,Song of the Sea – Tomm Moore and Paul Young,0,0,1,0,,,,,,,,,,
2015,The Tale of the Princess Kaguya – Isao Takahata and Yoshiaki Nishimura,0,0,1,0,,,,,,,,,,
2015,Ida (Poland) in Polish – Directed by Paweł Pawlikowskidouble-dagger,0,0,,,1,1,,,,,,,,
2015,Leviathan (Russia) in Russian – Directed by Andrey Zvyagintsev,0,0,,,1,0,,,,,,,,
2015,Tangerines (Estonia) in Estonian and Russian – Directed by Zaza Urushadze,0,0,,,1,0,,,,,,,,
2015,Timbuktu (Mauritania) in French  – Directed by Abderrahmane Sissako,0,0,,,1,0,,,,,,,,
2015,Wild Tales (Argentina) in Spanish  – Directed by Damián Szifron,0,0,,,1,0,,,,,,,,
2015,"Citizenfour – Laura Poitras, Mathilde Bonnefoy, and Dirk Wilutzkydouble-dagger",0,0,,,,,1,1,,,,,,
2015,Finding Vivian Maier – John Maloof and Charlie Siskel,0,0,,,,,1,0,,,,,,
2015,Last Days in Vietnam – Rory Kennedy and Keven McAlester,0,0,,,,,1,0,,,,,,
2015,"The Salt of the Earth – Wim Wenders, Juliano Ribeiro Salgado and David Rosier",0,0,,,,,1,0,,,,,,
2015,Virunga – Orlando von Einsiedel and Joanna Natasegara,0,0,,,,,1,0,,,,,,
2015,Crisis Hotline: Veterans Press 1 – Ellen Goosenberg Kent and Dana Perrydouble-dagger,0,0,,,,,,,1,1,,,,
2015,Joanna – Aneta Kopacz,0,0,,,,,,,1,0,,,,
2015,Our Curse – Tomasz Śliwiński and Maciej Ślesicki,0,0,,,,,,,1,0,,,,
2015,The Reaper – Gabriel Serra Arguello,0,0,,,,,,,1,0,,,,
2015,White Earth – J. Christian Jensen,0,0,,,,,,,1,0,,,,
2015,The Phone Call – Mat Kirkby and James Lucasdouble-dagger,0,0,,,,,,,,,1,1,,
2015,Aya – Oded Binnun and Mihal Brezis,0,0,,,,,,,,,1,0,,
2015,Boogaloo and Graham – Michael Lennox and Ronan Blaney,0,0,,,,,,,,,1,0,,
2015,Butter Lamp – Hu Wei and Julien Féret,0,0,,,,,,,,,1,0,,
2015,Parvaneh – Talkhon Hamzavi and Stefan Eichenberger,0,0,,,,,,,,,1,0,,
2015,Feast – Patrick Osborne and Kristina Reeddouble-dagger,0,0,,,,,,,,,,,1,1
2015,The Bigger Picture – Daisy Jacobs and Christopher Hees,0,0,,,,,,,,,,,1,0
2015,The Dam Keeper – Robert Kondo and Daisuke Tsutsumi,0,0,,,,,,,,,,,1,0
2015,Me and My Moulton – Torill Kove,0,0,,,,,,,,,,,1,0
2015,A Single Life – Joris Oprins,0,0,,,,,,,,,,,1,0
2016,"Spotlight – Michael Sugar, Steve Golin, Nicole Rocklin and Blye Pagon Faustdouble-dagger",1,1,,,,,,,,,,,,
2016,"The Big Short – Brad Pitt, Dede Gardner and Jeremy Kleiner",1,0,,,,,,,,,,,,
2016,"Bridge of Spies – Steven Spielberg, Marc Platt and Kristie Macosko Krieger",1,0,,,,,,,,,,,,
2016,Brooklyn – Finola Dwyer and Amanda Posey,1,0,,,,,,,,,,,,
2016,Mad Max: Fury Road – Doug Mitchell and George Miller,1,0,,,,,,,,,,,,
2016,"The Martian – Simon Kinberg, Ridley Scott, Michael Schaefer and Mark Huffam",1,0,,,,,,,,,,,,
2016,"The Revenant  – Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent and Keith Redmon",1,0,,,,,,,,,,,,
2016,Room – Ed Guiney,1,0,,,,,,,,,,,,
2016,Inside Out – Pete Docter and Jonas Riveradouble-dagger,,,1,1,,,,,,,,,,
2016,"Anomalisa – Charlie Kaufman, Duke Johnson and Rosa Tran",,,1,0,,,,,,,,,,
2016,Boy and the World – Alê Abreu,,,1,0,,,,,,,,,,
2016,Shaun the Sheep Movie – Mark Burton and Richard Starzak,,,1,0,,,,,,,,,,
2016,When Marnie Was There – Hiromasa Yonebayashi and Yoshiaki Nishimura,,,1,0,,,,,,,,,,
2016,Son of Saul (Hungary) in Hungarian – Directed by László Nemesdouble-dagger,,,,,1,1,,,,,,,,
2016,Embrace of the Serpent (Colombia) in Spanish – Directed by Ciro Guerra,,,,,1,0,,,,,,,,
2016,Mustang (France) in Turkish – Directed by Deniz Gamze Ergüven,,,,,1,0,,,,,,,,
2016,Theeb (Jordan) in Arabic – Directed by Naji Abu Nowar,,,,,1,0,,,,,,,,
2016,A War (Denmark) in Danish – Directed by Tobias Lindholm,,,,,1,0,,,,,,,,
2016,Amy – Asif Kapadia and James Gay-Reesdouble-dagger,,,,,,,1,1,,,,,,
2016,Cartel Land – Matthew Heineman and Tom Yellin,,,,,,,1,0,,,,,,
2016,The Look of Silence – Joshua Oppenheimer and Signe Byrge Sørensen,,,,,,,1,0,,,,,,
2016,"What Happened, Miss Simone? – Liz Garbus, Amy Hobby and Justin Wilkes",,,,,,,1,0,,,,,,
2016,Winter on Fire: Ukraine's Fight for Freedom – Evgeny Afineevsky and Den Tolmor,,,,,,,1,0,,,,,,
2016,A Girl in the River: The Price of Forgiveness – Sharmeen Obaid-Chinoydouble-dagger,,,,,,,,,1,1,,,,
2016,Body Team 12 – David Darg and Bryn Mooser,,,,,,,,,1,0,,,,
2016,"Chau, Beyond the Lines – Courtney Marsh and Jerry Franck",,,,,,,,,1,0,,,,
2016,Claude Lanzmann: Spectres of the Shoah – Adam Benzine,,,,,,,,,1,0,,,,
2016,Last Day of Freedom – Dee Hibbert-Jones and Nomi Talisman,,,,,,,,,1,0,,,,
2016,Stutterer – Benjamin Cleary and Serena Armitagedouble-dagger,,,,,,,,,,,1,1,,
2016,Ave Maria – Eric Dupont and Basil Khalil,,,,,,,,,,,1,0,,
2016,Day One – Henry Hughes,,,,,,,,,,,1,0,,
2016,Everything Will Be Okay – Patrick Vollrath,,,,,,,,,,,1,0,,
2016,Shok – Jamie Donoughue,,,,,,,,,,,1,0,,
2016,Bear Story – Pato Escala and Gabriel Osoriodouble-dagger,,,,,,,,,,,,,1,1
2016,Prologue – Imogen Sutton and Richard Williams,,,,,,,,,,,,,1,0
2016,Sanjay's Super Team – Nicole Grindle and Sanjay Patel,,,,,,,,,,,,,1,0
2016,We Can't Live Without Cosmos – Konstantin Bronzit,,,,,,,,,,,,,1,0
2016,World of Tomorrow – Don Hertzfeldt,,,,,,,,,,,,,1,0
